Transferred 512 bytes [0,512], value=0, index=20, size=512
Transferred 512 bytes [512,1024], value=512, index=20, size=512
Transferred 512 bytes [1024,1536], value=1024, index=20, size=512
Transferred 512 bytes [1536,2048], value=1536, index=20, size=512
Transferred 512 bytes [2048,2560], value=2048, index=20, size=512
Transferred 512 bytes [2560,3072], value=2560, index=20, size=512
Transferred 512 bytes [3072,3584], value=3072, index=20, size=512
Transferred 512 bytes [3584,4096], value=3584, index=20, size=512
Transferred 512 bytes [4096,4608], value=4096, index=20, size=512
Transferred 512 bytes [4608,5120], value=4608, index=20, size=512
Transferred 512 bytes [5120,5632], value=5120, index=20, size=512
Transferred 512 bytes [5632,6144], value=5632, index=20, size=512
Transferred 512 bytes [6144,6656], value=6144, index=20, size=512
Transferred 512 bytes [6656,7168], value=6656, index=20, size=512
Transferred 512 bytes [7168,7680], value=7168, index=20, size=512
Transferred 512 bytes [7680,8192], value=7680, index=20, size=512
Transferred 512 bytes [8192,8704], value=8192, index=20, size=512
Transferred 512 bytes [8704,9216], value=8704, index=20, size=512
Transferred 512 bytes [9216,9728], value=9216, index=20, size=512
Transferred 512 bytes [9728,10240], value=9728, index=20, size=512
Transferred 512 bytes [10240,10752], value=10240, index=20, size=512
Transferred 512 bytes [10752,11264], value=10752, index=20, size=512
Transferred 512 bytes [11264,11776], value=11264, index=20, size=512
Transferred 512 bytes [11776,12288], value=11776, index=20, size=512
Transferred 512 bytes [12288,12800], value=12288, index=20, size=512
Transferred 512 bytes [12800,13312], value=12800, index=20, size=512
Transferred 512 bytes [13312,13824], value=13312, index=20, size=512
Transferred 512 bytes [13824,14336], value=13824, index=20, size=512
Transferred 512 bytes [14336,14848], value=14336, index=20, size=512
Transferred 512 bytes [14848,15360], value=14848, index=20, size=512
Transferred 512 bytes [15360,15872], value=15360, index=20, size=512
Transferred 512 bytes [15872,16384], value=15872, index=20, size=512
Transferred 512 bytes [16384,16896], value=16384, index=20, size=512
Transferred 512 bytes [16896,17408], value=16896, index=20, size=512
Transferred 512 bytes [17408,17920], value=17408, index=20, size=512
Transferred 512 bytes [17920,18432], value=17920, index=20, size=512
Transferred 512 bytes [18432,18944], value=18432, index=20, size=512
Transferred 512 bytes [18944,19456], value=18944, index=20, size=512
Transferred 512 bytes [19456,19968], value=19456, index=20, size=512
Transferred 512 bytes [19968,20480], value=19968, index=20, size=512
Transferred 512 bytes [20480,20992], value=20480, index=20, size=512
Transferred 512 bytes [20992,21504], value=20992, index=20, size=512
Transferred 512 bytes [21504,22016], value=21504, index=20, size=512
Transferred 512 bytes [22016,22528], value=22016, index=20, size=512
Transferred 512 bytes [22528,23040], value=22528, index=20, size=512
Transferred 512 bytes [23040,23552], value=23040, index=20, size=512
Transferred 512 bytes [23552,24064], value=23552, index=20, size=512
Transferred 512 bytes [24064,24576], value=24064, index=20, size=512
Transferred 512 bytes [24576,25088], value=24576, index=20, size=512
Transferred 512 bytes [25088,25600], value=25088, index=20, size=512
Transferred 512 bytes [25600,26112], value=25600, index=20, size=512
Transferred 512 bytes [26112,26624], value=26112, index=20, size=512
Transferred 512 bytes [26624,27136], value=26624, index=20, size=512
Transferred 512 bytes [27136,27648], value=27136, index=20, size=512
Transferred 512 bytes [27648,28160], value=27648, index=20, size=512
Transferred 512 bytes [28160,28672], value=28160, index=20, size=512
Transferred 512 bytes [28672,29184], value=28672, index=20, size=512
Transferred 512 bytes [29184,29696], value=29184, index=20, size=512
Transferred 512 bytes [29696,30208], value=29696, index=20, size=512
Transferred 512 bytes [30208,30720], value=30208, index=20, size=512
Transferred 512 bytes [30720,31232], value=30720, index=20, size=512
Transferred 512 bytes [31232,31744], value=31232, index=20, size=512
Transferred 512 bytes [31744,32256], value=31744, index=20, size=512
Transferred 512 bytes [32256,32768], value=32256, index=20, size=512
Transferred 512 bytes [32768,33280], value=32768, index=20, size=512
Transferred 512 bytes [33280,33792], value=33280, index=20, size=512
Transferred 512 bytes [33792,34304], value=33792, index=20, size=512
Transferred 512 bytes [34304,34816], value=34304, index=20, size=512
Transferred 512 bytes [34816,35328], value=34816, index=20, size=512
Transferred 512 bytes [35328,35840], value=35328, index=20, size=512
Transferred 512 bytes [35840,36352], value=35840, index=20, size=512
Transferred 512 bytes [36352,36864], value=36352, index=20, size=512
Transferred 512 bytes [36864,37376], value=36864, index=20, size=512
Transferred 512 bytes [37376,37888], value=37376, index=20, size=512
Transferred 512 bytes [37888,38400], value=37888, index=20, size=512
Transferred 512 bytes [38400,38912], value=38400, index=20, size=512
Transferred 512 bytes [38912,39424], value=38912, index=20, size=512
Transferred 512 bytes [39424,39936], value=39424, index=20, size=512
Transferred 512 bytes [39936,40448], value=39936, index=20, size=512
Transferred 512 bytes [40448,40960], value=40448, index=20, size=512
Transferred 512 bytes [40960,41472], value=40960, index=20, size=512
Transferred 512 bytes [41472,41984], value=41472, index=20, size=512
Transferred 512 bytes [41984,42496], value=41984, index=20, size=512
Transferred 512 bytes [42496,43008], value=42496, index=20, size=512
Transferred 512 bytes [43008,43520], value=43008, index=20, size=512
Transferred 512 bytes [43520,44032], value=43520, index=20, size=512
Transferred 512 bytes [44032,44544], value=44032, index=20, size=512
Transferred 512 bytes [44544,45056], value=44544, index=20, size=512
Transferred 512 bytes [45056,45568], value=45056, index=20, size=512
Transferred 512 bytes [45568,46080], value=45568, index=20, size=512
Transferred 512 bytes [46080,46592], value=46080, index=20, size=512
Transferred 512 bytes [46592,47104], value=46592, index=20, size=512
Transferred 512 bytes [47104,47616], value=47104, index=20, size=512
Transferred 512 bytes [47616,48128], value=47616, index=20, size=512
Transferred 512 bytes [48128,48640], value=48128, index=20, size=512
Transferred 512 bytes [48640,49152], value=48640, index=20, size=512
Transferred 512 bytes [49152,49664], value=49152, index=20, size=512
Transferred 512 bytes [49664,50176], value=49664, index=20, size=512
Transferred 512 bytes [50176,50688], value=50176, index=20, size=512
Transferred 512 bytes [50688,51200], value=50688, index=20, size=512
Transferred 512 bytes [51200,51712], value=51200, index=20, size=512
Transferred 512 bytes [51712,52224], value=51712, index=20, size=512
Transferred 512 bytes [52224,52736], value=52224, index=20, size=512
Transferred 512 bytes [52736,53248], value=52736, index=20, size=512
Transferred 512 bytes [53248,53760], value=53248, index=20, size=512
Transferred 512 bytes [53760,54272], value=53760, index=20, size=512
Transferred 512 bytes [54272,54784], value=54272, index=20, size=512
Transferred 512 bytes [54784,55296], value=54784, index=20, size=512
Transferred 512 bytes [55296,55808], value=55296, index=20, size=512
Transferred 512 bytes [55808,56320], value=55808, index=20, size=512
Transferred 512 bytes [56320,56832], value=56320, index=20, size=512
Transferred 512 bytes [56832,57344], value=56832, index=20, size=512
Transferred 512 bytes [57344,57856], value=57344, index=20, size=512
Transferred 512 bytes [57856,58368], value=57856, index=20, size=512
Transferred 512 bytes [58368,58880], value=58368, index=20, size=512
Transferred 512 bytes [58880,59392], value=58880, index=20, size=512
Transferred 512 bytes [59392,59904], value=59392, index=20, size=512
Transferred 512 bytes [59904,60416], value=59904, index=20, size=512
Transferred 512 bytes [60416,60928], value=60416, index=20, size=512
Transferred 512 bytes [60928,61440], value=60928, index=20, size=512
Transferred 512 bytes [61440,61952], value=61440, index=20, size=512
Transferred 512 bytes [61952,62464], value=61952, index=20, size=512
Transferred 512 bytes [62464,62976], value=62464, index=20, size=512
Transferred 512 bytes [62976,63488], value=62976, index=20, size=512
Transferred 512 bytes [63488,64000], value=63488, index=20, size=512
Transferred 512 bytes [64000,64512], value=64000, index=20, size=512
Transferred 512 bytes [64512,65024], value=64512, index=20, size=512
Transferred 512 bytes [65024,65536], value=65024, index=20, size=512
Transferred 512 bytes [65536,66048], value=0, index=21, size=512
Transferred 512 bytes [66048,66560], value=512, index=21, size=512
Transferred 512 bytes [66560,67072], value=1024, index=21, size=512
Transferred 512 bytes [67072,67584], value=1536, index=21, size=512
Transferred 512 bytes [67584,68096], value=2048, index=21, size=512
Transferred 512 bytes [68096,68608], value=2560, index=21, size=512
